date,time_5min,approach,movement,total_vph
0507,01:05,Eastbound,Thru,149.8
0507,01:10,Eastbound,Thru,114.5
0507,01:15,Eastbound,Thru,155.4
0507,01:20,Eastbound,Thru,140.4
0507,01:25,Eastbound,Thru,141.4
0507,01:30,Eastbound,Thru,169.3
0507,01:35,Eastbound,Thru,129.5
0507,01:40,Eastbound,Thru,102.8
0507,01:45,Eastbound,Thru,115.5
0507,01:50,Eastbound,Thru,113.5
0507,01:55,Eastbound,Thru,75.7
0507,02:00,Eastbound,Thru,74.7
0507,02:05,Eastbound,Thru,78.7
0507,02:10,Eastbound,Thru,52.8
0507,02:15,Eastbound,Thru,119.5
0507,02:20,Eastbound,Thru,117.5
0507,02:25,Eastbound,Thru,105.6
0507,02:30,Eastbound,Thru,101.6
0507,02:35,Eastbound,Thru,79.7
0507,02:40,Eastbound,Thru,61.7
0507,02:45,Eastbound,Thru,74.7
0507,02:50,Eastbound,Thru,70.9
0507,02:55,Eastbound,Thru,50.5
0507,03:00,Eastbound,Thru,45.8
0507,03:05,Eastbound,Thru,65.7
0507,03:10,Eastbound,Thru,80.7
0507,03:15,Eastbound,Thru,41.8
0507,03:20,Eastbound,Thru,17.9
0507,03:25,Eastbound,Thru,17.3
0507,03:30,Eastbound,Thru,23.9
0507,03:35,Eastbound,Thru,40.8
0507,03:40,Eastbound,Thru,32.9
0507,03:45,Eastbound,Thru,26.9
0507,03:50,Eastbound,Thru,29.2
0507,03:55,Eastbound,Thru,23.9
0507,04:00,Eastbound,Thru,19.9
0507,04:05,Eastbound,Thru,46.8
0507,04:10,Eastbound,Thru,37.8
0507,04:15,Eastbound,Thru,
0507,04:20,Eastbound,Thru,
0507,04:25,Eastbound,Thru,
0507,04:30,Eastbound,Thru,30.3
0507,04:35,Eastbound,Thru,36.8
0507,04:40,Eastbound,Thru,31.9
0507,04:45,Eastbound,Thru,24.9
0507,04:50,Eastbound,Thru,60.7
0507,04:55,Eastbound,Thru,1079.5
0507,05:00,Eastbound,Thru,838.5
0507,05:05,Eastbound,Thru,65.3
0507,05:10,Eastbound,Thru,56.8
0507,05:15,Eastbound,Thru,65.7
0507,05:20,Eastbound,Thru,66.7
0507,05:25,Eastbound,Thru,74.7
0507,05:30,Eastbound,Thru,87.6
0507,05:35,Eastbound,Thru,97.6
0507,05:40,Eastbound,Thru,117.9
0507,05:45,Eastbound,Thru,150.4
0507,05:50,Eastbound,Thru,141.4
0507,05:55,Eastbound,Thru,116.8
0507,06:00,Eastbound,Thru,111.5
0507,06:05,Eastbound,Thru,114.5
0507,06:10,Eastbound,Thru,126.5
0507,06:15,Eastbound,Thru,474.8
0507,06:20,Eastbound,Thru,227.1
0507,06:25,Eastbound,Thru,209.1
0507,06:30,Eastbound,Thru,227.1
0507,06:35,Eastbound,Thru,223.1
0507,06:40,Eastbound,Thru,201.2
0507,06:45,Eastbound,Thru,305.7
0507,06:50,Eastbound,Thru,411.1
0507,06:55,Eastbound,Thru,444.8
0507,07:00,Eastbound,Thru,473.0
0507,07:05,Eastbound,Thru,463.1
0507,07:10,Eastbound,Thru,505.9
0507,07:15,Eastbound,Thru,478.0
0507,07:20,Eastbound,Thru,549.7
0507,07:25,Eastbound,Thru,628.6
0507,07:30,Eastbound,Thru,655.3
0507,07:35,Eastbound,Thru,621.4
0507,07:40,Eastbound,Thru,658.3
0507,07:45,Eastbound,Thru,763.8
0507,07:50,Eastbound,Thru,838.5
0507,07:55,Eastbound,Thru,862.4
0507,08:00,Eastbound,Thru,784.8
0507,08:05,Eastbound,Thru,762.8
0507,08:10,Eastbound,Thru,647.3
0507,08:15,Eastbound,Thru,732.0
0507,08:20,Eastbound,Thru,889.3
0507,08:25,Eastbound,Thru,798.7
0507,08:30,Eastbound,Thru,701.9
0507,08:35,Eastbound,Thru,624.4
0507,08:40,Eastbound,Thru,771.8
0507,08:45,Eastbound,Thru,903.3
0507,08:50,Eastbound,Thru,846.5
0507,08:55,Eastbound,Thru,763.5
0507,09:00,Eastbound,Thru,814.6
0507,09:05,Eastbound,Thru,811.8
0507,09:10,Eastbound,Thru,711.1
0507,09:15,Eastbound,Thru,640.3
0507,09:20,Eastbound,Thru,699.1
0507,09:25,Eastbound,Thru,664.3
0507,09:30,Eastbound,Thru,633.4
0507,09:35,Eastbound,Thru,743.9
0507,09:40,Eastbound,Thru,769.6
0507,09:45,Eastbound,Thru,621.4
0507,09:50,Eastbound,Thru,616.4
0507,09:55,Eastbound,Thru,581.6
0507,10:00,Eastbound,Thru,618.4
0507,10:05,Eastbound,Thru,712.1
0507,10:10,Eastbound,Thru,640.3
0507,10:15,Eastbound,Thru,664.4
0507,10:20,Eastbound,Thru,769.8
0507,10:25,Eastbound,Thru,753.9
0507,10:30,Eastbound,Thru,735.0
0507,10:35,Eastbound,Thru,734.0
0507,10:40,Eastbound,Thru,844.5
0507,10:45,Eastbound,Thru,856.5
0507,10:50,Eastbound,Thru,768.0
0507,10:55,Eastbound,Thru,779.4
0507,11:00,Eastbound,Thru,847.5
0507,11:05,Eastbound,Thru,911.2
0507,11:10,Eastbound,Thru,773.8
0507,11:15,Eastbound,Thru,725.0
0507,11:20,Eastbound,Thru,791.7
0507,11:25,Eastbound,Thru,800.7
0507,11:30,Eastbound,Thru,748.9
0507,11:35,Eastbound,Thru,770.8
0507,11:40,Eastbound,Thru,939.1
0507,11:45,Eastbound,Thru,983.9
0507,11:50,Eastbound,Thru,847.5
0507,11:55,Eastbound,Thru,682.2
0507,12:00,Eastbound,Thru,748.9
0507,12:05,Eastbound,Thru,810.6
0507,12:10,Eastbound,Thru,707.1
0507,12:15,Eastbound,Thru,798.7
0507,12:20,Eastbound,Thru,911.2
0507,12:25,Eastbound,Thru,857.5
0507,12:30,Eastbound,Thru,791.1
0507,12:35,Eastbound,Thru,693.1
0507,12:40,Eastbound,Thru,819.6
0507,12:45,Eastbound,Thru,821.6
0507,12:50,Eastbound,Thru,831.6
0507,12:55,Eastbound,Thru,970.0
0507,13:00,Eastbound,Thru,861.8
0507,13:05,Eastbound,Thru,744.1
0507,13:10,Eastbound,Thru,721.0
0507,13:15,Eastbound,Thru,778.8
0507,13:20,Eastbound,Thru,826.6
0507,13:25,Eastbound,Thru,826.6
0507,13:30,Eastbound,Thru,1121.4
0507,13:35,Eastbound,Thru,988.9
0507,13:40,Eastbound,Thru,1006.2
0507,13:45,Eastbound,Thru,881.4
0507,13:50,Eastbound,Thru,829.6
0507,13:55,Eastbound,Thru,752.9
0507,14:00,Eastbound,Thru,770.8
0507,14:05,Eastbound,Thru,804.7
0507,14:10,Eastbound,Thru,869.4
0507,14:15,Eastbound,Thru,1016.6
0507,14:20,Eastbound,Thru,1141.3
0507,14:25,Eastbound,Thru,1236.9
0507,14:30,Eastbound,Thru,1189.1
0507,14:35,Eastbound,Thru,1115.4
0507,14:40,Eastbound,Thru,962.0
0507,14:45,Eastbound,Thru,836.5
0507,14:50,Eastbound,Thru,807.9
0507,14:55,Eastbound,Thru,821.9
0507,15:00,Eastbound,Thru,1013.8
0507,15:05,Eastbound,Thru,1133.3
0507,15:10,Eastbound,Thru,1144.3
0507,15:15,Eastbound,Thru,1059.6
0507,15:20,Eastbound,Thru,1015.8
0507,15:25,Eastbound,Thru,1023.0
0507,15:30,Eastbound,Thru,1142.3
0507,15:35,Eastbound,Thru,1273.7
0507,15:40,Eastbound,Thru,1115.4
0507,15:45,Eastbound,Thru,1127.3
0507,15:50,Eastbound,Thru,1238.9
0507,15:55,Eastbound,Thru,1116.4
0507,16:00,Eastbound,Thru,1068.6
0507,16:05,Eastbound,Thru,1180.1
0507,16:10,Eastbound,Thru,1192.1
0507,16:15,Eastbound,Thru,1117.4
0507,16:20,Eastbound,Thru,1089.5
0507,16:25,Eastbound,Thru,1095.5
0507,16:30,Eastbound,Thru,1161.6
0507,16:35,Eastbound,Thru,1245.8
0507,16:40,Eastbound,Thru,1271.7
0507,16:45,Eastbound,Thru,1287.7
0507,16:50,Eastbound,Thru,1276.7
0507,16:55,Eastbound,Thru,1219.0
0507,17:00,Eastbound,Thru,1716.9
0507,17:05,Eastbound,Thru,2191.7
0507,17:10,Eastbound,Thru,2036.6
0507,17:15,Eastbound,Thru,2026.6
0507,17:20,Eastbound,Thru,2400.1
0507,17:25,Eastbound,Thru,2352.3
0507,17:30,Eastbound,Thru,1849.3
0507,17:35,Eastbound,Thru,1937.0
0507,17:40,Eastbound,Thru,1862.7
0507,17:45,Eastbound,Thru,1317.5
0507,17:50,Eastbound,Thru,1220.9
0507,17:55,Eastbound,Thru,1135.3
0507,18:00,Eastbound,Thru,1166.2
0507,18:05,Eastbound,Thru,1192.1
0507,18:10,Eastbound,Thru,993.9
0507,18:15,Eastbound,Thru,951.3
0507,18:20,Eastbound,Thru,1107.4
0507,18:25,Eastbound,Thru,1035.7
0507,18:30,Eastbound,Thru,1172.1
0507,18:35,Eastbound,Thru,1144.3
0507,18:40,Eastbound,Thru,883.3
0507,18:45,Eastbound,Thru,840.5
0507,18:50,Eastbound,Thru,919.4
0507,18:55,Eastbound,Thru,881.7
0507,19:00,Eastbound,Thru,841.5
0507,19:05,Eastbound,Thru,875.4
0507,19:10,Eastbound,Thru,810.6
0507,19:15,Eastbound,Thru,811.6
0507,19:20,Eastbound,Thru,908.2
0507,19:25,Eastbound,Thru,868.4
0507,19:30,Eastbound,Thru,770.8
0507,19:35,Eastbound,Thru,752.9
0507,19:40,Eastbound,Thru,725.0
0507,19:45,Eastbound,Thru,671.2
0507,19:50,Eastbound,Thru,695.1
0507,19:55,Eastbound,Thru,806.7
0507,20:00,Eastbound,Thru,686.2
0507,20:05,Eastbound,Thru,643.3
0507,20:10,Eastbound,Thru,759.9
0507,20:15,Eastbound,Thru,836.5
0507,20:20,Eastbound,Thru,694.1
0507,20:25,Eastbound,Thru,823.6
0507,20:30,Eastbound,Thru,746.5
0507,20:35,Eastbound,Thru,666.2
0507,20:40,Eastbound,Thru,572.6
0507,20:45,Eastbound,Thru,633.4
0507,20:50,Eastbound,Thru,616.4
0507,20:55,Eastbound,Thru,603.5
0507,21:00,Eastbound,Thru,629.4
0507,21:05,Eastbound,Thru,730.6
0507,21:10,Eastbound,Thru,710.1
0507,21:15,Eastbound,Thru,602.5
