variant,seed,episode,day,scale,reward,cumulative_reward,decisions,switches,wall_s
pg_elapsed,15,2,0507,0.53,-2224827,-9146486,49822,6650,63.6
pg_elapsed,15,3,0507,0.70,-670048,-9816534,47290,7111,45.3
pg_elapsed,15,4,0507,0.81,-1497318,-11313852,23596,11419,60.0
pg_elapsed,15,5,0507,0.77,-480533,-11794385,42661,7953,53.8
pg_elapsed,15,6,0507,1.27,-1336836,-13131221,45757,7390,95.2
pg_elapsed,15,7,0507,0.78,-419459,-13550680,42538,7975,58.6
pg_elapsed,15,8,0506,0.94,-912913,-14463593,48720,6851,73.2
pg_elapsed,15,9,0506,0.82,-560590,-15024183,42153,8045,65.7
pg_elapsed,15,10,0505,0.96,-491731,-15515914,41856,8099,78.9
pg_elapsed,15,11,0505,0.96,-496701,-16012615,42505,7981,85.3
pg_elapsed,15,12,0505,1.29,-874293,-16886908,45464,7443,102.0
pg_elapsed,15,13,0505,0.92,-466343,-17353251,41504,8163,94.1
pg_elapsed,15,14,0507,1.10,-670652,-18023903,41306,8199,110.2
pg_elapsed,15,15,0506,0.65,-365250,-18389153,38864,8643,104.5
pg_elapsed,15,16,0505,0.98,-504001,-18893154,41570,8151,111.7
pg_elapsed,15,17,0505,1.02,-532708,-19425862,41526,8159,110.3
pg_elapsed,15,18,0507,0.87,-461451,-19887313,37346,8919,109.6
pg_elapsed,15,19,0507,0.67,-326993,-20214306,35762,9207,111.4
pg_elapsed,15,20,0506,0.55,-282069,-20496375,40107,8418,112.7
pg_elapsed,16,1,0506,0.84,-3258983,-3258983,72546,2519,118.7
pg_elapsed,16,2,0506,1.03,-2069467,-5328450,57432,5267,263.9
pg_elapsed,16,3,0507,0.71,-771846,-6100296,24247,11300,36.1
pg_elapsed,16,4,0506,1.23,-1531962,-7632258,47114,7143,178.0
pg_elapsed,16,5,0507,1.20,-1025511,-8657769,40197,8400,72.3
pg_elapsed,16,6,0505,0.62,-323513,-8981282,21181,11858,33.5
pg_elapsed,16,7,0506,0.82,-639091,-9620373,27945,10628,57.2
pg_elapsed,16,8,0506,1.28,-1577491,-11197864,39108,8599,215.5
pg_elapsed,16,9,0507,1.09,-786066,-11983930,31562,9971,72.0
pg_elapsed,16,10,0507,0.98,-645394,-12629324,29213,10398,56.2
